Make,Model,Buyer Gender,Buyer Age,Country,City,Color,New Car,Purchase Date,Sale Price,Resell Price,5-yr Depreciation,Top Speed,0-60 Time
Cadillac,XLR,Female,73,Mexico,La Esperanza,Violet,FALSE,23/08/2002,94162.23,9953.73,0.19,139.6,9.4
Mazda,626,Male,67,China,Jiutai,Yellow,FALSE,08/08/2011,80656.65,48768.09,0.14,157.9,3.4
Pontiac,Firebird,Female,29,Japan,Maki,Yellow,FALSE,11/09/2013,94996.07,20574.37,0.08,211.9,11.5
Honda,Fit,Male,66,Peru,Granada,Crimson,FALSE,13/03/2012,64560.37,37241.46,0.01,143.2,10.3
Lexus,ES,Male,34,Czech Republic,Březí,Khaki,FALSE,05/04/2005,75463.55,35588.91,0.09,249,11.4
BMW,7 Series,Female,40,United States,Chicago,Yellow,FALSE,16/02/2007,22060.5,17943.65,0.25,171,6.3
Mazda,Millenia,Male,62,Philippines,Sibucao,Aquamarine,FALSE,29/05/2014,82657.77,40091.69,0.21,177.1,2.3
Cadillac,STS,Female,21,Kiribati,Betio Village,Red,TRUE,29/09/2003,81090.19,9615.36,0.24,244.3,12.3
Porsche,911,Male,37,China,Baihe,Green,FALSE,03/01/2017,97251.74,42643.45,0.19,228.9,6.9
Chevrolet,Camaro,Male,56,Mexico,El Limon,Aquamarine,FALSE,07/05/2016,75317.54,9056.29,0.22,191.3,3.7
Toyota,Paseo,Female,68,South Africa,Jan Kempdorp,Puce,TRUE,02/02/2007,75504.88,17685.3,0.15,147.3,4.3
Cadillac,Escalade ESV,Female,22,Brazil,Trindade,Blue,FALSE,25/10/2006,30728.18,45652.52,0.04,203.9,14.7
Oldsmobile,Alero,Female,58,China,Baozi,Teal,TRUE,26/02/2003,11609.78,18772.76,0.05,238.5,3
Lexus,GS,Male,27,United States,Van Nuys,Turquoise,FALSE,28/11/2002,57177.42,49239.84,0.17,182.7,10.9
BMW,M3,Female,26,China,Fengqiao,Pink,FALSE,08/03/2017,94448.79,33328.55,0.14,193.8,7.6
Cadillac,Escalade,Female,63,United States,Omaha,Green,FALSE,01/03/2008,63096.11,19383.63,0.24,229,5.3
Pontiac,Trans Sport,Female,24,China,Sexiong,Indigo,TRUE,25/02/2008,42191.59,6153.48,0.04,195.1,6.5
Honda,Civic,Male,24,China,Shuangjing,Red,FALSE,16/02/2015,57860.96,23047.65,0.25,128.2,4.3
Mercury,Topaz,Female,53,Chile,Los Ángeles,Orange,FALSE,17/09/2005,78275.4,47037.99,0.08,188,12.1
Mazda,MPV,Female,25,Russia,Mar’ina Roshcha,Crimson,FALSE,16/02/2004,85619.92,23323.23,0.02,231.3,13
Toyota,MR2,Female,42,Japan,Chino,Violet,TRUE,28/10/2004,15788.39,6342.62,0.21,248.6,4.3
Suzuki,Swift,Female,61,Japan,Sasebo,Violet,FALSE,12/05/2007,94045.36,43612.23,0.15,193.9,14
Honda,Civic,Male,41,Kosovo,Gllogjan,Green,FALSE,02/01/2007,14212.88,42933.75,0.1,201.2,5.3
BMW,6 Series,Male,20,China,Yiqi,Aquamarine,TRUE,12/09/2009,33527.91,38401.36,0.24,137.2,8.7
Mercury,Lynx,Male,26,China,Qiankeng,Red,TRUE,19/09/2002,29563.05,49251.28,0.07,149,4
Buick,Century,Female,40,France,Paris 04,Red,TRUE,10/02/2008,28069.14,3384.26,0.14,160.7,10.6
BMW,330,Male,67,China,Zonghan,Fuscia,TRUE,14/11/2008,36588.29,40824.76,0.19,177.9,2.8
Mitsubishi,Cordia,Female,65,United States,Migrate,Blue,TRUE,01/03/2020,86350.32,19850.62,0.05,124.5,7.5
Volvo,XC90,Female,44,France,Charleville-Mézières,Khaki,TRUE,19/11/2015,36700.85,45806.23,0.07,242,7.6
Maserati,228,Female,57,China,Huangdimiao,Maroon,TRUE,23/09/2004,34974.97,13020.82,0.24,174.2,3.4
Chevrolet,Venture,Male,31,Greece,Ílion,Goldenrod,FALSE,22/01/2016,30928.23,23444.88,0.06,225.1,5.2
Cadillac,DeVille,Female,35,Russia,Bobrov,Violet,FALSE,18/09/2003,66283.98,2409.83,0.08,233.3,5.1
Lexus,IS-F,Female,53,China,Taixi,Green,FALSE,09/06/2003,75332.73,32384.92,0.1,124.1,9.8
Nissan,Sentra,Male,34,Sweden,Umeå,Turquoise,FALSE,15/07/2003,30464.6,3131.75,0.19,128.5,11.6
Ford,Escort,Female,37,Pakistan,Daulatpur,Blue,FALSE,26/10/2007,63177.26,33893.06,0.11,221.4,7.7
Oldsmobile,Cutlass Supreme,Female,56,China,Shanghu,Red,FALSE,20/03/2019,46709.45,46184.9,0.2,158.4,3.5
Audi,S8,Female,23,Indonesia,Cihideung Satu,Yellow,TRUE,21/01/2015,62496.9,49168.17,0.25,236.8,14
Pontiac,Firebird,Male,45,Kuwait,Bayān,Indigo,TRUE,01/07/2017,71301.2,15055.83,0.13,228.5,13.5
Hyundai,Elantra,Female,20,China,Huaqiao,Mauv,FALSE,16/12/2016,66157.63,8070.75,0.07,125.1,2.3
Aston Martin,DB9,Male,47,Ukraine,Tlumach,Violet,FALSE,06/12/2018,75881.16,10743.31,0.03,240,9.7
Volkswagen,New Beetle,Male,36,Ecuador,Machachi,Pink,FALSE,09/01/2009,34156.39,13071.68,0.23,172.3,2.5
Chevrolet,Uplander,Male,59,Indonesia,Pedaringan,Green,FALSE,19/04/2020,80753.77,43638.05,0.23,246.5,11.4
Ford,Laser,Female,72,Liberia,Kakata,Pink,TRUE,05/09/2008,42705.38,36280.09,0.15,187,14.9
Audi,S4,Male,54,United States,Austin,Pink,FALSE,07/09/2009,91954.75,26324.05,0.15,220.6,11.2
Chevrolet,Silverado 3500,Male,31,Thailand,Khuan Don,Red,TRUE,18/09/2009,27819.81,6869.51,0.02,212.2,8.1
Pontiac,LeMans,Male,57,Indonesia,Sembon,Teal,TRUE,16/02/2009,21740.31,7654.25,0.02,239.1,12.7
Mercedes-Benz,E-Class,Female,41,Indonesia,Bangkal,Goldenrod,FALSE,16/10/2009,69723.76,42080.13,0.17,231.7,14.7
Hyundai,Tiburon,Male,42,Poland,Lipno,Crimson,TRUE,07/03/2009,77331.24,33602.25,0.09,211.9,11
BMW,5 Series,Male,47,Sweden,Göteborg,Fuscia,TRUE,24/06/2010,34912.47,27425.31,0.14,151.7,10.5
Toyota,Echo,Female,27,China,Hong’an,Turquoise,TRUE,29/07/2009,47526.31,24888.7,0.25,155,2.6
Mitsubishi,Precis,Male,57,Canada,Oromocto,Maroon,TRUE,05/12/2020,13154.21,2261.63,0.05,142.2,10
Plymouth,Breeze,Female,36,Portugal,Casal Galego,Blue,FALSE,04/04/2013,72003.02,38508.27,0.15,180.6,14
BMW,Alpina B7,Female,74,Serbia,Majur,Crimson,FALSE,29/03/2018,30087.14,13755.88,0.23,232.1,12.2
Lamborghini,Gallardo,Female,71,Sweden,Höganäs,Indigo,TRUE,25/04/2002,73063.61,10648,0.18,229.5,12.5
Chevrolet,Corvette,Male,30,Indonesia,Jalinan,Yellow,FALSE,03/01/2013,62426.28,3388.52,0.2,126.8,13.6
Oldsmobile,Cutlass Supreme,Male,34,Portugal,Chavães,Pink,FALSE,30/07/2011,25403.61,26004.13,0.03,177.3,9.1
Pontiac,Grand Am,Female,20,Estonia,Toila,Teal,FALSE,02/03/2004,30618.42,15690.94,0.19,194,10.1
Pontiac,LeMans,Male,51,Bangladesh,Sylhet,Teal,TRUE,30/08/2007,11462.18,23415.84,0.24,205.4,11.6
Audi,S6,Female,46,Afghanistan,Mehtar Lām,Indigo,TRUE,07/12/2006,14625.68,5684.73,0.1,232.8,8.1
Toyota,Celica,Female,48,Kosovo,Vitina,Teal,FALSE,23/10/2008,81325.5,14341.09,0.04,186.8,10.6
Mazda,Mazdaspeed 3,Male,66,Russia,Belyye Stolby,Fuscia,TRUE,16/07/2018,87205.22,30566.12,0.17,225.1,13.6
Porsche,Cayenne,Male,30,Philippines,Quibal,Red,FALSE,21/07/2014,31749.91,14153.44,0.06,133.6,2.6
GMC,Sierra 3500HD,Female,33,Chile,Machalí,Puce,TRUE,11/11/2016,16808.62,5304.96,0.03,249.9,6.2
Toyota,Sienna,Male,24,France,La Rochelle,Crimson,TRUE,13/08/2012,13332.2,32824.09,0.05,172.7,6.6
Audi,Allroad,Male,50,Finland,Perniö,Crimson,TRUE,17/12/2019,80022.41,46695.57,0.22,129.5,12.5
Chevrolet,Corvette,Male,46,France,Thiais,Blue,TRUE,05/09/2007,30130.99,6399.59,0.18,233.8,9.9
Mitsubishi,Tredia,Female,29,China,Huangshi,Crimson,FALSE,10/07/2013,60357.76,24392.8,0.17,199,8
GMC,Yukon,Male,24,Czech Republic,Návsí u Jablunkova,Goldenrod,FALSE,28/10/2013,56553.1,46591.32,0.06,239.8,12.6
Pontiac,Safari,Male,21,Sweden,Eslöv,Purple,FALSE,21/11/2002,99419.92,10087.39,0.07,229.2,2.6
Mazda,B-Series Plus,Female,29,Indonesia,Bulupayung,Mauv,FALSE,10/06/2017,32137.64,5230.03,0.13,137.3,8.2
Ford,Mustang,Male,72,Nigeria,Pindiga,Orange,FALSE,23/09/2007,48280.51,13071.28,0.09,189.3,13
Volkswagen,GTI,Female,59,China,Qing’an,Puce,FALSE,03/11/2008,52939.81,30520.4,0.01,243.9,13.3
GMC,1500,Male,56,Vietnam,Long Thành,Blue,FALSE,05/07/2020,70947.97,3345.73,0.14,234.9,3.3
Saturn,Outlook,Female,47,Indonesia,Kelodan,Yellow,TRUE,08/06/2005,59323.59,12648.14,0.09,228.8,8.1
Audi,100,Male,70,United States,Albany,Mauv,FALSE,03/09/2006,38479,3585.18,0.14,133.8,4.4
Ford,Focus,Male,21,French Guiana,Cayenne,Blue,FALSE,18/12/2005,88463.65,4687.74,0.09,219.6,13.9
Subaru,XT,Female,21,Indonesia,Siborong-borong,Khaki,FALSE,11/10/2018,31546.77,12981.16,0.25,146,10.4
Mitsubishi,Mirage,Female,41,Morocco,Moulay Abdallah,Blue,FALSE,09/10/2004,84248.68,15675.48,0.02,239.5,10.7
Mercedes-Benz,C-Class,Male,71,Armenia,Varser,Yellow,FALSE,02/07/2011,60009.63,23231.41,0.2,146.2,10.8
Porsche,911,Female,45,Sudan,El Bauga,Green,TRUE,06/12/2014,22367.26,41425.13,0.02,233.2,11
Mazda,Familia,Male,65,China,Yangping,Purple,FALSE,02/06/2018,55032.77,6853.18,0.1,230.5,7.9
Lexus,ES,Female,43,Kenya,Moyale,Red,TRUE,25/05/2008,75442.59,31521.94,0.24,170.4,2.4
Pontiac,LeMans,Male,25,Brazil,Itabira,Orange,TRUE,31/01/2016,48479.09,48343.88,0.04,136.2,3
Land Rover,Discovery,Female,40,Senegal,Koungheul,Khaki,TRUE,01/10/2006,16038.14,11208.85,0.21,126.9,9.7
Land Rover,Defender 90,Female,44,Portugal,Colos,Indigo,FALSE,24/06/2010,13460.73,27265.65,0.18,150.8,13.2
Lamborghini,Gallardo,Male,46,Belarus,Dokshytsy,Fuscia,FALSE,05/07/2012,28314.33,9076.38,0.2,241.8,13.7
Mercury,Cougar,Female,57,Philippines,Pandasan,Goldenrod,FALSE,07/03/2002,10068.96,49528.57,0.07,177.8,8.4
Toyota,Prius,Male,24,Czech Republic,Vítkov,Aquamarine,TRUE,23/02/2015,18969.77,43529.06,0.08,214.4,9.2
Ford,Focus,Female,73,China,Yangji,Purple,TRUE,01/01/2005,52975.46,6970.7,0.03,224.3,7.7
Aston Martin,DBS,Male,25,Indonesia,Gereneng,Maroon,FALSE,12/08/2017,91905.14,3540.51,0.03,166.1,8.7
Hyundai,Santa Fe,Male,61,China,Suqin Huimin,Pink,TRUE,24/07/2018,74914.14,4255.97,0.22,149.4,12.1
Chevrolet,Cavalier,Female,39,Brazil,Campos Novos,Indigo,TRUE,01/04/2020,55848.72,37296.01,0.01,222.7,5.7
Saab,9000,Female,74,Mongolia,Delgermörön,Blue,FALSE,09/10/2009,97974.41,16574.31,0.2,167.2,12.6
Mazda,MX-5,Male,28,Poland,Borowno,Blue,FALSE,01/01/2004,45392.43,41211.83,0.1,152.5,12.9
Maybach,62,Male,67,Angola,Mbanza Congo,Turquoise,FALSE,21/06/2002,79360.54,9483.17,0.16,171.3,12.7
Subaru,Tribeca,Male,36,Indonesia,Tegalbuleud,Purple,FALSE,05/01/2007,84113.72,32471.31,0.13,205.2,8.4
Infiniti,Q,Male,24,Netherlands,Heerlen,Maroon,TRUE,30/10/2012,56870.27,35771.5,0.1,158.4,4.3
Mitsubishi,Montero,Male,39,Argentina,Corral de Bustos,Green,TRUE,03/11/2018,94575.46,31017.51,0.23,161.6,7.6
Dodge,Ram 2500,Male,31,Canada,Sydney Mines,Fuscia,TRUE,21/01/2003,37808.65,22136.94,0.14,170.9,7.5
Lincoln,Aviator,Male,32,Philippines,Ramos West,Green,FALSE,11/07/2002,24817.01,9430.51,0.05,177.5,11.6
Lamborghini,Murciélago,Male,74,China,Beilun,Yellow,FALSE,20/08/2003,30722.81,43911.51,0.13,135,11.3
Dodge,Ram Van 2500,Male,31,Portugal,Gonça,Turquoise,FALSE,17/04/2015,39006.43,3943.98,0.24,246.9,8
Volkswagen,Eos,Female,30,United States,Mesa,Orange,FALSE,07/01/2002,60082.82,20661.06,0.17,218.1,5.1
Lincoln,MKX,Female,63,China,Guanghou,Goldenrod,FALSE,29/03/2019,63011.73,7803.9,0.1,173.5,12.5
Land Rover,Range Rover Sport,Male,27,Indonesia,Bangekdewa,Purple,FALSE,15/01/2010,10775.58,24682.55,0.01,171.6,11.8
Dodge,Magnum,Female,61,Azerbaijan,Khyzy,Green,FALSE,25/04/2009,14516.11,2797.19,0.12,231.7,6.7
Isuzu,Oasis,Male,42,Morocco,Taroudant,Fuscia,TRUE,28/11/2015,75790.07,43256,0.03,154.5,5.2
Ford,Freestar,Female,21,Brazil,Santa Gertrudes,Yellow,TRUE,01/12/2019,89326.21,3522.12,0.06,170,12.9
Chevrolet,Caprice,Male,68,Indonesia,Cisadap,Maroon,FALSE,18/11/2020,60915.51,6349.97,0.24,249.7,2.3
Toyota,T100 Xtra,Male,24,Poland,Suchy Las,Teal,FALSE,13/11/2016,86299.13,40268,0.17,157.2,7
Dodge,Magnum,Female,67,Ukraine,Nedryhayliv,Green,FALSE,08/03/2016,29955.68,18085.16,0.1,209.3,5.6
Oldsmobile,Ciera,Female,69,Indonesia,Rapas,Goldenrod,FALSE,13/11/2019,59256.98,41532.54,0.24,137.3,2.3
